feed_material_id,target_property,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale,rule_id
AOM_001326,aom:materialComponent,AOM_101086,Whole crop,approved,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,Canonical occurrences and public feed authorities identify maize silage as whole-crop material.,
AOM_001326,aom:processingMethod,AOM_000831,Ensiling,approved,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,Ensiling is explicit in canonical source occurrences and defines resulting silage.,
AOM_000656,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole rice retains grain fractions while grinding remains an independent process.,
AOM_000660,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole wheat retains grain fractions while grinding remains an independent process.,
AOM_001313,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Crop-product context distinguishes whole-grain maize from source maize and whole-crop silage.,
AOM_001324,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole-grain integrity and grinding are independent assertions.,
AOM_000555,aom:compositionState,AOM_101116,Whole-milk composition,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Whole milk denotes composition rather than physical wholeness.,
AOM_000687,aom:feedProductType,AOM_101113,Hay,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Hay is a conserved forage product.,
AOM_000687,aom:processingMethod,AOM_101071,Drying,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Haymaking conserves forage through drying.,
AOM_000798,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.,
AOM_000801,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.,
AOM_002109,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.,
AOM_001498,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.,
AOM_003892,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_001836,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_000633,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of drying.,
AOM_003885,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_006217,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of explicit processes.,
AOM_006178,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of ensiling.,
AOM_003546,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_003891,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_001483,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_006271,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of drying.,
AOM_001778,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_001779,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of grinding.,
AOM_002137,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.,
AOM_000544,aom:ingredientConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Feedipedia identifies fish oil; oil is material constituent rather than evidence of physical form.,
AOM_000642,aom:physicalForm,AOM_101077,Liquid form,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Molasses is governed as liquid presentation independently of source and role.,
AOM_000642,aom:processingMethod,AOM_101084,Sugar processing,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Sugarcane molasses results from sugar processing.,
AOM_000642,aom:productRole,AOM_101062,By-product role,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Sugarcane molasses is governed as sugar-processing by-product.,
AOM_000678,aom:ingredientConstituent,AOM_101065,Starch constituent,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Cassava remains source identity while starch is constituent identity.,
AOM_001289,aom:ingredientConstituent,AOM_101065,Starch constituent,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Maize remains source identity while starch is constituent identity.,
AOM_003208,aom:productRole,AOM_101062,By-product role,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Offal wording identifies by-product role without asserting a specific anatomical component.,
AOM_003596,aom:ingredientPart,AOM_101038,Seed,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Grape identifies source and seeds identify anatomical part.,
AOM_000651,aom:ingredientConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Exact AGROVOC maize-oil identity supports oil constituent independent of physical form.,
AOM_000674,aom:ingredientConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Exact AGROVOC sunflower-oil identity supports oil constituent independent of physical form.,
AOM_001586,aom:ingredientConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Exact AGROVOC soybean-oil identity supports oil constituent independent of physical form.,
AOM_000536,aom:processingMethod,AOM_101095,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND
AOM_000537,aom:processingMethod,AOM_101071,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED
AOM_000537,aom:processingMethod,AOM_101095,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND
AOM_000537,aom:processingMethod,AOM_101096,Heating,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-HEATED
